n,POS,NEG,ratio
1,226,47,0.8278388278
3,151,18,0.8934911243
5,169,51,0.7681818182
6,78,64,0.5492957746
7,15,8,0.652173913
8,150,84,0.641025641
9,150,574,0.2071823204
10,133,43,0.7556818182
11,174,249,0.4113475177
12,689,50,0.9323410014
13,166,10,0.9431818182
14,406,75,0.8440748441
15,363,11,0.9705882353
16,112,81,0.5803108808
,,,0.7126225382
